date,prime_broker,ticker,name,country,sector,currency,price_local,price_usd,available_shares,borrow_rate_pct,htb_flag
3/6/25,Prime C,1101 TT,Taiwan Cement,TW,Materials,TWD,90.47,2.845,2710527,1.5,N
3/6/25,Prime A,1101 TT,Taiwan Cement,TW,Materials,TWD,90.47,2.845,867344,3.25,N
3/6/25,Prime C,1605 JP,Inpex,JP,Industrials,JPY,42296,282.9164,1195611,5.25,N
3/6/25,Prime C,992 HK,Lenovo,HK,Information Technology,HKD,205.44,26.2711,195795,0.25,N
3/6/25,Prime A,462870 KS,SHIFT UP,KR,Information Technology,KRW,70193,52.9758,2126347,15.75,Y
3/6/25,Prime B,462870 KS,SHIFT UP,KR,Information Technology,KRW,70193,52.9758,1283964,14.5,Y
3/6/25,Prime C,462870 KS,SHIFT UP,KR,Information Technology,KRW,70193,52.9758,1007844,11.5,Y
3/6/25,Prime B,1605 JP,Inpex,JP,Industrials,JPY,42296,282.9164,1305230,1.75,N
3/6/25,Prime A,992 HK,Lenovo,HK,Information Technology,HKD,205.44,26.2711,975856,0.25,N
3/6/25,Prime A,9766 JP,Konami Holdings,JP,Industrials,JPY,37302,249.5117,874460,4,N
3/6/25,Prime B,9766 JP,Konami Holdings,JP,Industrials,JPY,37302,249.5117,1408807,4,N
3/6/25,Prime B,992 HK,Lenovo,HK,Information Technology,HKD,205.44,26.2711,982548,0.5,N
3/6/25,Prime A,1605 JP,Inpex,JP,Industrials,JPY,42296,282.9164,1197333,0.75,N
3/6/25,Prime C,966 HK,China Taiping Insurance,HK,Financials,HKD,276.59,35.3696,1310843,5.75,N
3/6/25,Prime B,1101 TT,Taiwan Cement,TW,Materials,TWD,90.47,2.845,1568309,2,N
3/6/25,Prime B,966 HK,China Taiping Insurance,HK,Financials,HKD,276.59,35.3696,201202,4,N
3/6/25,Prime C,9766 JP,Konami Holdings,JP,Industrials,JPY,37302,249.5117,1043447,3.25,N
3/6/25,Prime C,9532 JP,Osaka Gas,JP,Industrials,JPY,8720,58.3278,2466445,1.5,N
3/6/25,Prime A,402340 KS,SK Square,KR,Information Technology,KRW,50422,38.0543,506591,0.25,N
3/6/25,Prime A,966 HK,China Taiping Insurance,HK,Financials,HKD,276.59,35.3696,437388,3.75,N
3/6/25,Prime A,9532 JP,Osaka Gas,JP,Industrials,JPY,8720,58.3278,2145620,1,N
3/6/25,Prime A,963 HK,Bloomage BioTechnology,HK,Financials,HKD,123.6,15.8056,40286,6.25,N
3/6/25,Prime B,963 HK,Bloomage BioTechnology,HK,Financials,HKD,123.6,15.8056,1572947,5.75,N
3/6/25,Prime A,1102 TT,Asia Cement,TW,Information Technology,TWD,121.39,3.8173,105552,13.25,Y
3/6/25,Prime A,9531 JP,Tokyo Gas,JP,Industrials,JPY,21459,143.5385,1707509,2.25,N
3/6/25,Prime B,402340 KS,SK Square,KR,Information Technology,KRW,50422,38.0543,452777,0.25,N
3/6/25,Prime C,402340 KS,SK Square,KR,Information Technology,KRW,50422,38.0543,2294189,0.25,N
3/6/25,Prime C,383220 KS,F&F Co,KR,Information Technology,KRW,28876,21.7932,2498087,7.75,N
3/6/25,Prime C,963 HK,Bloomage BioTechnology,HK,Financials,HKD,123.6,15.8056,1539721,3.5,N
