date,ticker,name,country,sector,fund,side,abs_shares,price_usd,price_local,currency,gross_exposure_usd,borrow_rate_pct,htb_flag,daily_borrow_cost_usd,annual_borrow_cost_usd,prime_broker
3/6/25,6701 JP,NEC Corp,JP,Industrials,Asia Long/Short,Short,1600,323.0635,48298,JPY,516901.6,23.5,Y,337.4218778,121471.876,Prime B
3/6/25,034730 KS,SK Group,KR,Industrials,Asia Long/Short,Short,124300,13.0694,17317,KRW,1624526.42,21.665,Y,977.6490247,351953.6489,Prime A
3/6/25,123 HK,Yuexiu Property,HK,Financials,Asia Long/Short,Short,186400,18.1765,142.14,HKD,3388099.6,19.5,Y,1835.220617,660679.422,Prime A
3/6/25,2343 HK,Pacific Basin Shipping,HK,Financials,Quant Asia,Short,53300,30.1394,235.69,HKD,1606430.02,21.5,Y,959.3957064,345382.4543,Prime B
3/6/25,042660 KS,Hanwha Ocean (DSME),KR,Information Technology,Asia Alpha Master,Short,40400,75.3487,99837,KRW,3044087.48,20,Y,1691.159711,608817.496,Prime C
3/6/25,688 HK,China Overseas Land & Investment,HK,Real Estate,Quant Asia,Short,420700,2.4079,18.83,HKD,1013003.53,21.55,Y,606.3951687,218302.2607,Prime A
3/6/25,000150 KS,Doosan,KR,Industrials,Quant Asia,Short,205700,14.6611,19426,KRW,3015788.27,19.778,Y,1656.840567,596462.604,Prime B
3/6/25,064350 KS,Hyundai Rotem Company,KR,Information Technology,Asia Long/Short,Short,67300,84.0166,111322,KRW,5654317.18,22,Y,3455.416054,1243949.78,Prime B
3/6/25,6 HK,Power Assets,HK,Utilities,Asia Alpha Master,Short,6383300,1.1458,8.96,HKD,7313985.14,21.261,Y,4319.517724,1555026.381,Prime A
3/6/25,007310 KS,Ottogi,KR,Consumer Discretionary,Asia Alpha Master,Short,23100,57.363,76006,KRW,1325085.3,20.5,Y,754.5624625,271642.4865,Prime A
3/6/25,5016 JP,JX Advanced Metals,JP,Industrials,Asia Alpha Master,Short,32700,93.291,13947,JPY,3050615.7,19,Y,1610.047175,579616.983,Prime B
3/6/25,041510 KS,SM Entertainment,KR,Health Care,Asia Long/Short,Short,44500,44.5781,59066,KRW,1983725.45,18.17,Y,1001.230317,360442.9143,Prime A
3/6/25,6902 JP,Denso,JP,Consumer Discretionary,Quant Asia,Short,26500,129.5452,19367,JPY,3432947.8,16.834,Y,1605.284535,577902.4327,Prime B
3/6/25,373220 KS,LG Energy Solution,KR,Information Technology,Quant Asia,Short,62400,70.7019,93680,KRW,4411798.56,14.25,Y,1746.33693,628681.2948,Prime B
3/6/25,443060 KS,HD Hyundai Marine Solution,KR,Information Technology,Asia Alpha Master,Short,107900,45.2619,59972,KRW,4883759.01,11.75,Y,1594.004677,573841.6837,Prime B
3/6/25,293490 KS,Kakao Games,KR,Information Technology,Asia Long/Short,Short,17200,84.717,112250,KRW,1457132.4,10.25,Y,414.877975,149356.071,Prime A
3/6/25,4689 JP,LY Corporation,JP,Communication Services,Asia Long/Short,Short,6000,240.6488,35977,JPY,1443892.8,10.25,Y,411.1083667,147999.012,Prime C
3/6/25,41 HK,Great Eagle,HK,Financials,Quant Asia,Short,66400,14.3082,111.89,HKD,950064.48,9.25,Y,244.11379,87880.9644,Prime B
3/6/25,257 HK,China Everbright Environment Group,HK,Financials,Quant Asia,Short,144700,23.4156,183.11,HKD,3388237.32,5.261,N,495.1532372,178255.1654,Prime A
3/6/25,6273 JP,SMC Corp,JP,Industrials,Quant Asia,Short,17800,190.5351,28485,JPY,3391524.78,5.15,N,485.1764616,174663.5262,Prime A
3/6/25,336260 KS,Doosan Fuel Cell,KR,Information Technology,Quant Asia,Short,43700,77.597,102816,KRW,3390988.9,5,N,470.9706806,169549.445,Prime A
3/6/25,6055 HK,China Tobacco International,HK,Financials,Quant Asia,Short,208200,12.8005,100.1,HKD,2665064.1,5,N,370.1477917,133253.205,Prime C
3/6/25,215 HK,Hutchison Telecommunications Hong Kong,HK,Financials,Asia Long/Short,Short,142300,34.1164,266.79,HKD,4854763.72,5,N,674.2727389,242738.186,Prime A
3/6/25,7013 JP,IHI Corporation,JP,Industrials,Asia Long/Short,Short,13300,235.6589,35231,JPY,3134263.37,5,N,435.3143569,156713.1685,Prime A
3/6/25,0011 HK,Jardine Matheson,HK,Financials,Asia Alpha Master,Short,250500,2.8146,22.01,HKD,705057.3,5,N,97.924625,35252.865,Prime C
3/6/25,6178 JP,Japan Post Holdings,JP,Industrials,Quant Asia,Short,4200,83.6722,12509,JPY,351423.24,5,N,48.80878333,17571.162,Prime C
3/6/25,3532 TT,Formosa Sumco Technology,TW,Information Technology,Asia Alpha Master,Short,471200,6.8142,216.69,TWD,3210851.04,5,N,445.9515333,160542.552,Prime B
3/6/25,3481 TT,Innolux,TW,Information Technology,Quant Asia,Short,286400,11.8343,376.33,TWD,3389343.52,5,N,470.7421556,169467.176,Prime A
3/6/25,2888 TT,Shin Kong Financial Holding,TW,Financials,Quant Asia,Short,36800,17.5302,557.46,TWD,645111.36,5,N,89.5988,32255.568,Prime C
3/6/25,2885 TT,Yuanta Financial Holding,TW,Financials,Asia Long/Short,Short,4983300,1.5855,50.42,TWD,7901022.15,4.976,N,1092.096839,393154.8622,Prime A
3/6/25,8058 JP,Mitsubishi Corporation,JP,Industrials,Asia Long/Short,Short,98900,34.2876,5126,JPY,3391043.64,4.792,N,451.3855867,162498.8112,Prime B
3/6/25,762 HK,China Unicom,HK,Communication Services,Asia Long/Short,Short,144900,21.0038,164.25,HKD,3043450.62,4.753,N,401.8200221,144655.208,Prime C
3/6/25,006260 KS,LS Corp.,KR,Information Technology,Asia Long/Short,Short,11400,89.7736,118950,KRW,1023419.04,4.75,N,135.0344567,48612.4044,Prime C
3/6/25,003495 KS,Korean Air Lines,KR,Information Technology,Quant Asia,Short,26200,52.0317,68942,KRW,1363230.54,4.75,N,179.8706963,64753.45065,Prime B
3/6/25,6762 JP,TDK,JP,Information Technology,Asia Alpha Master,Short,15900,360.2274,53854,JPY,5727615.66,4.75,N,755.7270663,272061.7439,Prime A
3/6/25,101 HK,Hang Lung Properties,HK,Real Estate,Quant Asia,Short,30000,9.5857,74.96,HKD,287571,4.75,N,37.94339583,13659.6225,Prime A
3/6/25,010140 KS,Samsung Heavy Industries,KR,Industrials,Quant Asia,Short,176100,30.8649,40896,KRW,5435308.89,4.747,N,716.7058695,258014.113,Prime A
3/6/25,1925 JP,Daiwa House,JP,Industrials,Asia Alpha Master,Short,20100,332.4147,49696,JPY,6681535.47,4.72,N,876.0235394,315368.4742,Prime A
3/6/25,6472 TT,Bora Pharmaceuticals,TW,Information Technology,Asia Alpha Master,Short,146500,17.1903,546.65,TWD,2518378.95,4.539,N,317.5256126,114309.2205,Prime A
3/6/25,096775 KS,SK Innovation,KR,Information Technology,Asia Alpha Master,Short,524800,8.8657,11747,KRW,4652719.36,4.528,N,585.2087017,210675.1326,Prime A
3/6/25,021240 KS,Coway,KR,Consumer Discretionary,Asia Long/Short,Short,474700,7.1396,9460,KRW,3389168.12,4.5,N,423.646015,152512.5654,Prime A
3/6/25,8308 JP,Resona Holdings,JP,Industrials,Asia Alpha Master,Short,6400,253.1438,37845,JPY,1620120.32,4.5,N,202.51504,72905.4144,Prime C
3/6/25,6505 TT,Formosa Petrochemical,TW,Energy,Asia Alpha Master,Short,1016500,4.9069,156.04,TWD,4987863.85,4.5,N,623.4829813,224453.8733,Prime B
3/6/25,6823 HK,Hong Kong Telecom,HK,Financials,Quant Asia,Short,44400,29.7941,232.99,HKD,1322858.04,4.5,N,165.357255,59528.6118,Prime B
3/6/25,6146 JP,Disco Corp.,JP,Industrials,Asia Long/Short,Short,33200,199.6722,29851,JPY,6629117.04,4.469,N,822.9312237,296255.2405,Prime A
3/6/25,8002 JP,Marubeni,JP,Industrials,Quant Asia,Short,15400,221.0301,33044,JPY,3403863.54,4.25,N,401.8450013,144664.2005,Prime A
3/6/25,2474 TT,Catcher Technology,TW,Information Technology,Asia Alpha Master,Short,1584800,1.3314,42.34,TWD,2110002.72,4.25,N,249.0975433,89675.1156,Prime C
3/6/25,1686 HK,SUNeVision,HK,Financials,Quant Asia,Short,274500,23.0281,180.08,HKD,6321213.45,4.25,N,746.2543656,268651.5716,Prime A
3/6/25,024110 KS,Industrial Bank of Korea (IBK),KR,Financials,Quant Asia,Short,42800,79.3072,105082,KRW,3394348.16,4.191,N,395.1586983,142257.1314,Prime B
3/6/25,3045 TT,Taiwan Mobile,TW,Communication Services,Asia Long/Short,Short,2110000,1.4204,45.17,TWD,2997044,4.161,N,346.4083357,124707.0008,Prime A
3/6/25,2377 TT,MSI (Micro-Star International),TW,Information Technology,Asia Alpha Master,Short,317000,9.0925,289.14,TWD,2882322.5,4.018,N,321.6992168,115811.7181,Prime C
3/6/25,1801 JP,Taisei Corporation,JP,Industrials,Quant Asia,Short,10900,168.5552,25199,JPY,1837251.68,4,N,204.1390756,73490.0672,Prime B
3/6/25,9766 JP,Konami Holdings,JP,Industrials,Asia Alpha Master,Short,8200,249.5117,37302,JPY,2045995.94,4,N,227.3328822,81839.8376,Prime A
3/6/25,2330 TT,TSMC,TW,Information Technology,Quant Asia,Short,722900,3.5082,111.56,TWD,2536077.78,4,N,281.78642,101443.1112,Prime B
3/6/25,015760 KS,Korea Electric Power,KR,Utilities,Quant Asia,Short,74400,46.96,62222,KRW,3493824,4,N,388.2026667,139752.96,Prime A
3/6/25,3661 TT,Alchip Technologies,TW,Information Technology,Asia Alpha Master,Short,587400,5.7714,183.53,TWD,3390120.36,4,N,376.68004,135604.8144,Prime B
3/6/25,2347 TT,Synnex Technology International,TW,Information Technology,Asia Long/Short,Short,50400,16.2557,516.93,TWD,819287.28,4,N,91.03192,32771.4912,Prime C
3/6/25,2615 TT,Wan Hai Lines,TW,Information Technology,Asia Long/Short,Short,171000,4.6956,149.32,TWD,802947.6,3.977,N,88.7034057,31933.22605,Prime A
3/6/25,5020 JP,ENEOS Holdings,JP,Industrials,Quant Asia,Short,9000,280.1405,41881,JPY,2521264.5,3.81,N,266.8338263,96060.17745,Prime B
3/6/25,5803 JP,Fujikura,JP,Industrials,Quant Asia,Short,26500,125.0502,18695,JPY,3313830.3,3.75,N,345.1906563,124268.6363,Prime A
3/6/25,2886 TT,MFHC,TW,Financials,Quant Asia,Short,511300,6.177,196.43,TWD,3158300.1,3.75,N,328.9895938,118436.2538,Prime B
3/6/25,7011 JP,Mitsubishi Heavy Industries,JP,Industrials,Quant Asia,Short,4000,153.5184,22951,JPY,614073.6,3.75,N,63.966,23027.76,Prime A
3/6/25,047810 KS,Korea Aerospace Industries,KR,Information Technology,Quant Asia,Short,9900,88.4098,117143,KRW,875257.02,3.663,N,89.05740179,32060.66464,Prime C
3/6/25,5478 TT,Soft-World International,TW,Information Technology,Asia Long/Short,Short,234200,12.9984,413.35,TWD,3044225.28,3.636,N,307.4667533,110688.0312,Prime A
3/6/25,001040 KS,CJ Group,KR,Materials,Asia Long/Short,Short,65200,37.8483,50149,KRW,2467709.16,3.614,N,247.7305807,89183.00904,Prime B
3/6/25,2887 TT,Taishin Financial Holdings,TW,Information Technology,Asia Long/Short,Short,70700,16.1252,512.78,TWD,1140051.64,3.547,N,112.3267546,40437.63167,Prime C
3/6/25,3231 TT,Wistron Corporation,TW,Information Technology,Asia Long/Short,Short,234000,3.8418,122.17,TWD,898981.2,3.5,N,87.40095,31464.342,Prime A
3/6/25,3665 TT,Bizlink Holding,TW,Industrials,Asia Alpha Master,Short,289300,11.7151,372.54,TWD,3389178.43,3.5,N,329.5034585,118621.2451,Prime B
3/6/25,8001 JP,Itochu Shoji,JP,Industrials,Asia Long/Short,Short,17700,191.1237,28573,JPY,3382889.49,3.5,N,328.8920338,118401.1322,Prime B
3/6/25,2408 TT,Nanya Technology,TW,Information Technology,Asia Alpha Master,Short,133300,13.4925,429.06,TWD,1798550.25,3.274,N,163.5681533,58884.53519,Prime C
3/6/25,3105 TT,WIN Semiconductors,TW,Information Technology,Quant Asia,Short,801900,4.206,133.75,TWD,3372791.4,3.25,N,304.4881125,109615.7205,Prime B
3/6/25,6752 JP,Panasonic,JP,Consumer Discretionary,Asia Alpha Master,Short,5700,55.4716,8293,JPY,316188.12,3.25,N,28.54476083,10276.1139,Prime B
3/6/25,090430 KS,Amorepacific,KR,Consumer Staples,Asia Alpha Master,Short,42000,72.0317,95442,KRW,3025331.4,3.25,N,273.1201958,98323.2705,Prime C
3/6/25,2388 HK,Bank of China (Hong Kong),HK,Financials,Quant Asia,Short,52800,25.1151,196.4,HKD,1326077.28,3.25,N,119.71531,43097.5116,Prime C
3/6/25,2501 TT,Cathay Real Estate Development,TW,Information Technology,Asia Long/Short,Short,67300,16.0956,511.84,TWD,1083233.88,3.25,N,97.7919475,35205.1011,Prime A
3/6/25,3293 TT,International Games System,TW,Information Technology,Quant Asia,Short,554200,4.3956,139.78,TWD,2436041.52,3.25,N,219.920415,79171.3494,Prime A
3/6/25,8046 TT,Nan Ya PCB,TW,Information Technology,Asia Alpha Master,Short,156100,11.7006,372.08,TWD,1826463.66,3.059,N,155.198676,55871.52336,Prime A
3/6/25,2301 TT,Lite-On Technology,TW,Information Technology,Asia Long/Short,Short,412800,19.123,608.11,TWD,7893974.4,3,N,657.8312,236819.232,Prime A
3/6/25,2207 TT,Hotai Motor,TW,Consumer Discretionary,Asia Long/Short,Short,278100,19.2947,613.57,TWD,5365856.07,3,N,447.1546725,160975.6821,Prime B
